model_id,specialist_group,_groups,pipeline_tag,params_b,active_params_b,vram_q4_gb,vram_fp16_gb,fits_16gb_vram,fits_32gb_ram,downloads,likes,is_moe,is_gguf,library,tags
Qwen/Qwen3-0.6B,edge-small,edge-small,text-generation,0.6,,1.84,2.7,True,True,22399005,1555,False,False,transformers,"transformers,safetensors,qwen3,text-generation,conversational"
unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,12391424,931,True,True,transformers,"transformers,gguf,unsloth,qwen3,qwen"
Qwen/Qwen3-Embedding-0.6B,embedding,embedding|edge-small,feature-extraction,0.6,,1.84,2.7,True,True,6812094,1172,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,text-generation,transformers"
Qwen/Qwen3-ASR-1.7B,edge-small,edge-small,automatic-speech-recognition,1.7,,2.45,4.9,True,True,4521897,1044,False,False,,"safetensors,qwen3_asr,automatic-speech-recognition,arxiv:2601.21337,license:apache-2.0"
Qwen/Qwen3-1.7B,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,3878472,525,False,False,transformers,"transformers,safetensors,qwen3,text-generation,conversational"
Qwen/Qwen3-Embedding-4B,embedding,embedding,feature-extraction,4.0,,3.74,9.5,True,True,3274869,313,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,text-generation,transformers"
Qwen/Qwen3-TTS-12Hz-1.7B-Base,edge-small,edge-small,,1.7,,2.45,4.9,True,True,3026859,494,False,False,,"safetensors,qwen3_tts,arxiv:2601.15621,license:apache-2.0,region:us"
Qwen/Qwen3.5-2B,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,2868560,375,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,conversational"
Qwen/Qwen3-VL-2B-Instruct,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,2678334,452,False,False,transformers,"transformers,safetensors,qwen3_vl,image-text-to-text,conversational"
jinaai/jina-embeddings-v3,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,2512187,1152,False,False,transformers,"transformers,pytorch,onnx,safetensors,feature-extraction"
HuggingFaceTB/SmolLM2-135M,edge-small,edge-small,text-generation,7,,5.42,15.5,True,True,2488117,228,False,False,transformers,"transformers,safetensors,llama,text-generation,en"
Qwen/Qwen3.5-0.8B,edge-small,edge-small,image-text-to-text,0.8,,1.95,3.1,True,True,2444153,679,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,conversational"
google/embeddinggemma-300m,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,2401612,1864,False,False,sentence-transformers,"sentence-transformers,safetensors,gemma3_text,sentence-similarity,feature-extraction"
Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,edge-small,edge-small,text-to-speech,1.7,,2.45,4.9,True,True,2401169,1920,False,False,,"safetensors,qwen3_tts,text-to-speech,arxiv:2601.15621,license:apache-2.0"
Qwen/Qwen3-Embedding-8B,embedding,embedding,feature-extraction,8.0,,5.98,17.5,True,True,2385310,785,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,text-generation,transformers"
Qwen/Qwen2.5-Coder-7B-Instruct,code,code,text-generation,7.0,,5.42,15.5,True,True,2313670,786,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
Qwen/Qwen2.5-Coder-14B-Instruct,code,code,text-generation,14.0,,9.34,29.5,True,True,2042392,182,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
Qwen/Qwen3-VL-Reranker-2B,edge-small,edge-small,text-ranking,2.0,,2.62,5.5,True,True,2031342,216,False,False,transformers,"transformers,safetensors,qwen3_vl,image-text-to-text,sentence-transformers"
Qwen/Qwen3-ASR-0.6B,edge-small,edge-small,automatic-speech-recognition,0.6,,1.84,2.7,True,True,1786634,343,False,False,,"safetensors,qwen3_asr,automatic-speech-recognition,arxiv:2601.21337,license:apache-2.0"
Qwen/Qwen3-Reranker-0.6B,edge-small,edge-small,text-ranking,0.6,,1.84,2.7,True,True,1705599,390,False,False,transformers,"transformers,safetensors,qwen3,text-generation,sentence-transformers"
Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,code,code,text-generation,14.0,,9.34,29.5,True,True,1631599,24,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
Qwen/Qwen2.5-Coder-32B-Instruct,code,code,text-generation,32.0,,19.42,65.5,False,True,1598429,2113,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
Qwen/Qwen3.5-2B-Base,edge-small,edge-small,image-text-to-text,2.0,,2.62,5.5,True,True,1469303,88,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,conversational"
HuggingFaceTB/SmolLM2-135M-Instruct,edge-small,edge-small,text-generation,7,,5.42,15.5,True,True,1431417,407,False,False,transformers,"transformers,tensorboard,onnx,safetensors,llama"
Qwen/Qwen3-1.7B-Base,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,1391891,77,False,False,transformers,"transformers,safetensors,qwen3,text-generation,conversational"
Qwen/Qwen3-VL-Embedding-2B,embedding,embedding|edge-small,sentence-similarity,2.0,,2.62,5.5,True,True,1364969,445,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3_vl,image-text-to-text,transformers"
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,code,code,text-generation,32.0,,19.42,65.5,False,True,1352287,39,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
Qwen/Qwen3-VL-Embedding-8B,embedding,embedding,sentence-similarity,8.0,,5.98,17.5,True,True,1275445,474,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3_vl,image-text-to-text,transformers"
Qwen/Qwen3-TTS-12Hz-0.6B-CustomVoice,edge-small,edge-small,text-to-speech,0.6,,1.84,2.7,True,True,1221952,182,False,False,,"safetensors,qwen3_tts,tts,qwen,audio"
Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,1115982,197,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,conversational"
HauhauCS/Qwen3.8-27B-Uncensored-HauhauCS-Aggressive-MTP-GGUF,edge-small,edge-small,image-text-to-text,27.0,,16.62,55.5,False,True,1061687,734,False,True,,"gguf,uncensored,qwen3.8,multimodal,vision"
Qwen/Qwen3-0.6B-Base,edge-small,edge-small,text-generation,0.6,,1.84,2.7,True,True,1003753,187,False,False,transformers,"transformers,safetensors,qwen3,text-generation,conversational"
mudler/KAT-Coder-V2.5-Dev-APEX-GGUF,code,code,,27.5,,16.9,56.5,False,True,901748,54,True,True,,"gguf,quantized,apex,moe,mixture-of-experts"
Serveurperso/Qwen3-TTS-GGUF,edge-small,edge-small,text-to-speech,1.75,,2.48,5.0,True,True,897058,36,False,True,gguf,"gguf,tts,text-to-speech,voice-cloning,voice-design"
nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,880322,0,False,False,,"safetensors,llama,text-generation,conversational,en"
NeuML/pubmedbert-base-embeddings,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,795291,195,False,False,sentence-transformers,"sentence-transformers,pytorch,safetensors,bert,feature-extraction"
Qwen/Qwen2.5-Coder-1.5B-Instruct,code,code,text-generation,1.5,,2.34,4.5,True,True,782501,137,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
Qwen/Qwen3-Coder-30B-A3B-Instruct,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,768840,1223,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,conversational"
AungMoonLord/bert-log-anomaly-detection,log-anomaly,log-anomaly,text-classification,7,,5.42,15.5,True,True,668415,1,False,False,transformers,"transformers,safetensors,bert,text-classification,base_model:google-bert/bert-base-uncased"
